Number of Threads;		Steps;		Time;		Diff;		Comp PI;
6;		1;		0.001000;		0.05840734641020706000;		3.20000000000000000000;
6;		10;		0.000000;		0.00083333141130559340;		3.14242598500109870000;
6;		100;		0.001000;		0.00000833333333138953;		3.14160098692312450000;
6;		1000;		0.001000;		0.00000008333333179067;		3.14159273692312500000;
6;		10000;		0.001000;		0.00000000083333162593;		3.14159265442312470000;
6;		100000;		0.002000;		0.00000000000833866309;		3.14159265359813200000;
6;		1000000;		0.008000;		0.00000000000008970602;		3.14159265358988300000;
6;		10000000;		0.012000;		0.00000000000001953993;		3.14159265358981270000;
6;		100000000;		0.053000;		0.00000000000014788171;		3.14159265358964520000;
6;		1000000000;		0.455000;		0.00000000000011102230;		3.14159265358968200000;
6;		10000000000;		4.547000;		0.00000000000002264855;		3.14159265358977050000;
6;		100000000000;		45.578000;		0.00000000000536193312;		3.14159265359515500000;
